x,y,z,latitude,longitude,speed,sound,light,time,timestamp
3.31 ,8.19 ,-5.89,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860345
0.75 ,12.969999 ,11.4,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860362
0.29 ,10.7699995 ,3.5,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860364
-3.3 ,7.6099997 ,3.1799998,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860379
-2.26 ,2.02 ,-27.529999,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860380
-3.7099998 ,13.759999 ,0.53999996,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860389
3.1299999 ,15.5 ,3.02,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860399
6.48 ,15.0 ,4.0899997,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860409
1.3399999 ,6.08 ,-7.37,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860421
-6.46 ,1.8 ,-3.4199998,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860428
-2.6299999 ,10.4 ,12.09,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860439
0.28 ,8.72 ,-3.98,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860450
-0.63 ,6.97 ,-14.849999,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860469
-6.37 ,11.139999 ,1.37,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860471
-4.47 ,9.2699995 ,-3.12,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860478
5.52 ,8.86 ,-1.74,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860490
0.51 ,8.429999 ,0.52,23.550498333333334,87.29502499999998 ,13.221154975891114,80.19102556315188 ,0.0,17:57:40 PM,1515500860499
